tokens,ner_tags
"[""#"", ""#"", ""#"", ""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7""]","[""answers-20090605110235AAALlCt_ans"", ""answers-20090605110235AAALlCt_ans-0001"", ""Iguazu?"", ""-"", ""-"", ""-"", ""-"", ""-"", ""stephen"", ""-""]"
"[""#"", ""#"", ""1"", ""2""]","[""answers-20090605110235AAALlCt_ans-0002"", ""Falls"", ""stephen"", ""stephen""]"
"[""#"", ""#"", ""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9"", ""10"", ""11"", ""12"", ""13"", ""14"", ""15"", ""16"", ""17"", ""18"", ""19"", ""20"", ""21"", ""22"", ""23"", ""24"", ""25"", ""26"", ""27"", ""28"", ""29"", ""30"", ""31"", ""32"", ""33"", ""34"", ""35""]","[""answers-20090605110235AAALlCt_ans-0003"", ""area."", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""stephen"", ""stephen"", ""-"", ""-"", ""-"", ""-"", ""stephen"", ""-"", ""stephen"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-""]"
"[""#"", ""#"", ""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9"", ""10"", ""11"", ""12"", ""13"", ""14"", ""15"", ""16"", ""17"", ""18"", ""19"", ""20"", ""21"", ""22"", ""23"", ""24"", ""25"", ""26"", ""27"", ""28"", ""29"", ""30"", ""31"", ""32"", ""33"", ""34"", ""35"", ""36"", ""37""]","[""answers-20090605110235AAALlCt_ans-0004"", ""air."", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-""]"
"[""#"", ""#"", ""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9"", ""10"", ""11"", ""12"", ""13"", ""14"", ""15"", ""16"", ""17"", ""18"", ""19"", ""20"", ""21"", ""22"", ""23"", ""24"", ""25"", ""26"", ""27"", ""28"", ""29""]","[""answers-20090605110235AAALlCt_ans-0005"", ""photograph."", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""stephen"", ""stephen"", ""-"", ""-""]"
"[""#"", ""#"", ""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9"", ""10"", ""11"", ""12"", ""13"", ""14"", ""15"", ""16"", ""17"", ""18"", ""19"", ""20"", ""21"", ""22"", ""23"", ""24"", ""25"", ""26"", ""27"", ""28"", ""29"", ""30"", ""31"", ""32"", ""33"", ""34""]","[""answers-20090605110235AAALlCt_ans-0006"", ""River."", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""stephen"", ""stephen"", ""-""]"
"[""#"", ""#"", ""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9"", ""10"", ""11"", ""12"", ""13"", ""14"", ""15"", ""16"", ""17"", ""18"", ""19"", ""20"", ""21"", ""22"", ""23"", ""24"", ""25"", ""26"", ""27"", ""28""]","[""answers-20090605110235AAALlCt_ans-0007"", ""plane."", ""-"", ""stephen"", ""stephen"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-""]"
"[""#"", ""#"", ""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9"", ""10"", ""11"", ""12"", ""13"", ""14"", ""15"", ""16"", ""17"", ""18"", ""19"", ""20"", ""21"", ""22"", ""23"", ""24"", ""25"", ""26"", ""27"", ""28"", ""29"", ""30"", ""31""]","[""answers-20090605110235AAALlCt_ans-0008"", ""close."", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""stephen"", ""stephen"", ""-"", ""stephen"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""stephen"", ""stephen"", ""stephen"", ""-"", ""stephen"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-""]"
"[""#"", ""#"", ""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9"", ""10"", ""11"", ""12"", ""13"", ""14"", ""15"", ""16"", ""17"", ""18"", ""19"", ""20"", ""21"", ""22"", ""23"", ""24""]","[""answers-20090605110235AAALlCt_ans-0009"", ""Aires."", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""stephen"", ""stephen"", ""-"", ""stephen"", ""stephen"", ""stephen"", ""-"", ""stephen"", ""stephen"", ""-""]"
"[""#"", ""#"", ""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9"", ""10"", ""11"", ""12"", ""13"", ""14"", ""15"", ""16"", ""17"", ""18"", ""19"", ""20"", ""21"", ""22"", ""23"", ""24"", ""25"", ""26"", ""27"", ""28"", ""29"", ""30"", ""31"", ""32"", ""33""]","[""answers-20090605110235AAALlCt_ans-0010"", ""seats."", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""stephen"", ""stephen"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-""]"
